slurp_id,scenario,intent,intent_raw,gold_intent_final,review_status,review_category,review_note,gold_sentence,sentence_annotation,audio_file
1038,alarm,alarm_query,alarm_query,alarm_query,ok,,,is my school alarm set,is my school alarm set,audio--1504191120-headset.flac
1625,alarm,alarm_query,alarm_query,alarm_query,ambiguous_retained,need_audio,'am or pm' (attuale alarm_query),am or pm,am or pm,audio-1490110085-headset.flac
1732,alarm,alarm_query,alarm_query,alarm_query,ok,,,checkout today set alarm of ten am,checkout [date : today] set alarm of [time : ten am],audio--1504198582-headset.flac
1914,alarm,alarm_set,alarm_set,alarm_set,ok,,,alert me at five hours,alert me at [time : five] hours,audio--1505406279-headset.flac
2431,alarm,alarm_query,alarm_query,alarm_query,ok,,,what alarms are upcoming,what alarms are upcoming,audio-1497557545-headset.flac
2672,alarm,alarm_query,alarm_query,alarm_query,ok,,,how many alarms do i have set for morning hours between six and nine am,how many alarms do i have set for [timeofday : morning] hours between [time : six and nine am],audio-1499697927-headset.flac
2720,alarm,alarm_set,alarm_set,alarm_set,ok,,,set an alarm for five thirty,set an alarm for [time : five thirty],audio-1490110701-headset.flac
2869,alarm,alarm_query,alarm_query,alarm_query,ok,,,tell me my alarms,tell me my alarms,audio--1504198774-headset.flac
2879,alarm,alarm_remove,alarm_remove,alarm_remove,ok,,,please remove any alarms that i have set,please remove any alarms that i have set,audio-1497271939-headset.flac
3045,alarm,alarm_query,alarm_query,alarm_query,ok,,,next alarm,next alarm,audio-1501763905-headset.flac
3148,alarm,alarm_query,alarm_query,alarm_query,ok,,,what time is my wakeup alarm set for,what time is my wakeup alarm set for,audio-1490202142-headset.flac
3149,alarm,alarm_query,alarm_query,alarm_query,ok,,,do i have any alarms for tomorrow morning,do i have any alarms for [date : tomorrow] [timeofday : morning],audio--1504190804-headset.flac
3151,alarm,alarm_remove,alarm_remove,alarm_remove,ok,,,remove my early alarms,remove my early alarms,audio-1497865132-headset.flac
3242,alarm,alarm_set,alarm_set,alarm_set,ok,,,can you set the alarm for one hundred and thirty,can you set the alarm for [time : one hundred and thirty],audio-1490354415-headset.flac
3248,alarm,alarm_remove,alarm_remove,alarm_remove,ok,,,cancel alarm for tomorrow,cancel alarm for [date : tomorrow],audio-1501686859-headset.flac
3270,alarm,alarm_remove,alarm_remove,alarm_remove,ok,,,remove alarms set for tomorrow,remove alarms set for [date : tomorrow],audio--1504195233-headset.flac
3463,alarm,alarm_set,alarm_set,alarm_set,ok,,,i would like a wake up alarm at seven am tomorrow,i would like a [alarm_type : wake up] alarm at [time : seven am] [date : tomorrow],audio-1501693929-headset.flac
3599,alarm,alarm_set,alarm_set,alarm_set,ok,,,set up an alarm clock at one pm,set up an alarm clock at [time : one pm],audio--1505405521-headset.flac
3904,alarm,alarm_remove,alarm_remove,alarm_remove,ok,,,please delete the wednesday evening alarm,please delete the [date : wednesday] [timeofday : evening] alarm,audio-1490802231-headset.flac
3956,alarm,alarm_set,alarm_set,alarm_set,ok,,,alert me in three hours,alert me in [time : three hours],audio-1501753591-headset.flac
4094,alarm,alarm_set,alarm_set,alarm_set,ok,,,please put on an alarm for eight am,please put on an alarm for [time : eight am],audio-1502299387-headset.flac
4129,alarm,alarm_query,alarm_query,alarm_query,ok,,,what alarms do i have set right now,what alarms do i have set right now,audio-1501766839-headset.flac
4198,alarm,alarm_remove,alarm_remove,alarm_remove,ok,,,remove the alarm set for four hundred am,remove the alarm set for [time : four hundred am],audio-1502194832-headset.flac
4317,alarm,alarm_set,alarm_set,alarm_set,ok,,,set an alarm for ten o'clock tomorrow morning,set an alarm for [time : ten] o'clock [date : tomorrow] [timeofday : morning],audio--1506079416-headset.flac
4318,alarm,alarm_set,alarm_set,alarm_set,ok,,,wake me up at ten,wake me up at [time : ten],audio--1504194842-headset.flac
4693,alarm,alarm_set,set,alarm_set,ok,,,set an alarm for five am,set an alarm for [time : five am],audio--1504194915-headset.flac
4694,alarm,alarm_set,alarm_set,alarm_set,ok,,,please set an alarm for ten pm,please set an alarm for [time : ten pm],audio-1502200628-headset.flac
4723,alarm,alarm_query,alarm_query,alarm_query,ok,,,list my different alarm,list my different alarm,audio--1504191463-headset.flac
4850,alarm,alarm_set,alarm_set,alarm_set,ok,,,set an alarm for five minutes from now,set an alarm for [time : five minutes from now],audio--1504198708-headset.flac
4853,alarm,alarm_set,alarm_set,alarm_set,ok,,,please set my alarm,please set my alarm,audio-1502199738-headset.flac
4971,alarm,alarm_remove,alarm_remove,alarm_remove,ok,,,remove finlee's bedtime alarm,remove [person : finlee's] bedtime alarm,audio-1502199127-headset.flac
5084,alarm,alarm_set,alarm_set,alarm_set,ok,,,set an alarm for six am,set an alarm for [time : six am],audio-1502890937-headset.flac
5099,alarm,alarm_remove,alarm_remove,alarm_remove,ok,,,olly cancel alarms,olly cancel alarms,audio--1504195010-headset.flac
5100,alarm,alarm_remove,alarm_remove,alarm_remove,ok,,,siri cancel yoga alarms,siri cancel yoga alarms,audio-1490199440-headset.flac
5336,alarm,alarm_query,alarm_query,alarm_query,ok,,,provide me the alarm times you have set,provide me the alarm times you have set,audio--1504194659-headset.flac
5436,alarm,alarm_remove,alarm_remove,alarm_remove,ok,,,get rid of the five pm alarm,get rid of the [time : five pm] alarm,audio-1501690387-headset.flac
5541,alarm,alarm_query,alarm_query,alarm_query,ok,,,please let me know the morning alarm time for weekdays,please let me know the [timeofday : morning] alarm time for [date : weekdays],audio--1504191543-headset.flac
5567,alarm,alarm_set,alarm_set,alarm_set,ok,,,set alarm on twenty fifth may at five pm,set alarm on [date : twenty fifth] [date : may] at [time : five pm],audio-1434533308-headset.flac
5609,alarm,alarm_query,alarm_query,alarm_query,ok,,,report alarm settings,report alarm settings,audio--1504192385-headset.flac
5667,alarm,alarm_query,alarm_query,alarm_query,ambiguous_retained,need_audio,'tap start and then select settings' (attuale alarm_query),tap start and then select settings,tap start and then select settings,audio-1497865362-headset.flac
5793,alarm,alarm_set,alarm_set,alarm_set,ok,,,set an alarm for five o'clock this evening labelled taxi,set an alarm for [time : five] o'clock this [timeofday : evening] labelled [event_name : taxi],audio-1501686366-headset.flac
5867,alarm,alarm_query,alarm_query,alarm_query,ok,,,tell me about the alarm timings,tell me about the alarm timings,audio--1504195051-headset.flac
5982,alarm,alarm_query,alarm_query,alarm_query,ok,,,at what time have you set alarm for me,at what time have you set alarm for me,audio-1498564404-headset.flac
6035,alarm,alarm_set,alarm_set,alarm_set,ambiguous_retained,weak_fragment,'open clock' (attuale set; apri app),open clock,open clock,audio--1504192269-headset.flac
6079,alarm,alarm_set,alarm_set,alarm_set,ambiguous_retained,need_audio,'alarm' (attuale alarm_set),alarm,alarm,audio-1499265882-headset.flac
7043,alarm,alarm_set,alarm_set,alarm_set,ok,,,set an alarm for two hours from now please,set an alarm for [time : two hours from now] please,audio-1501763982-headset.flac
8253,alarm,alarm_set,alarm_set,alarm_set,ok,,,set a reminder i need to wake up at five am every morning,set a reminder i need to wake up at [time : five am] [general_frequency : every morning],audio-1501752187-headset.flac
8803,alarm,alarm_set,alarm_set,alarm_set,ok,,,please set alarm for,please set alarm for,audio-1501776765-headset.flac
9049,alarm,alarm_set,alarm_set,alarm_set,ok,,,set an alarm for four pm tuesday,set an alarm for [time : four pm] [date : tuesday],audio-1502200061-headset.flac
2042,calendar,calendar_query,calendar_query,calendar_query,ok,,,is the meeting scheduled for tomorrow,is the [event_name : meeting] scheduled for [date : tomorrow],audio-1490263108-headset.flac
6414,calendar,calendar_query,calendar_query,calendar_query,ok,,,my weekly plan,My weekly plan,audio-1490193461-headset.flac
6520,calendar,calendar_query,calendar_query,calendar_query,ok,,,schedule,schedule,audio-1498566829-headset.flac
6540,calendar,calendar_set,calendar_set,calendar_set,ok,,,today needs to be marked as my cheat day,[date : today] needs to be marked as [event_name : my cheat day],audio-1495372355-headset.flac
6723,calendar,calendar_query,query,calendar_query,ok,,,olly what's my agenda for the remainder of the week,olly what's my agenda for the [time : remainder of the week],audio-1490197894-headset.flac
6734,calendar,calendar_remove,calendar_remove,calendar_remove,ok,,,clear my day from meetings,clear my [time : day] from [event_name : meetings],audio-1497884435-headset.flac
6751,calendar,calendar_query,calendar_query,calendar_query,ok,,,when is my next meeting,when is my next [event_name : meeting],audio-1498572438-headset.flac
6760,calendar,calendar_remove,calendar_remove,calendar_remove,ok,,,cancel my five pm daily call,cancel my [time : five pm] [general_frequency : daily] [event_name : call],audio-1501414625-headset.flac
6771,calendar,calendar_set,calendar_set,calendar_set,ok,,,book a meeting with chelsea,book a [event_name : meeting] with [person : chelsea],audio-1501767552-headset.flac
6778,calendar,calendar_query,calendar_query,calendar_query,ok,,,do i have any events today,do i have any events [date : today],audio-1490109860-headset.flac
6779,calendar,calendar_query,calendar_query,calendar_query,ok,,,do i have anything booked for tomorrow,do i have anything booked for [date : tomorrow],audio-1490019470-headset.flac
6792,calendar,calendar_query,calendar_query,calendar_query,ok,,,tell me about my events,tell me about my events,audio-1490103591-headset.flac
6823,calendar,calendar_set,calendar_set,calendar_set,ok,,,olly i want to go to the outdoor movie screening this weekend remind me,olly i want to go to the [event_name : outdoor movie] screening this [time : weekend] remind me,audio-1490007870-headset.flac
6827,calendar,calendar_query,calendar_query,calendar_query,ok,,,have you added a meeting with tom tomorrow at nine pm,have you added a [event_name : meeting] with [person : tom] [date : tomorrow] at [time : nine pm],audio-1490372159-headset.flac
6831,calendar,calendar_remove,calendar_remove,calendar_remove,ok,,,delete all events for the next five days,delete all events for the [date : next five days],audio-1498573471-headset.flac
6841,calendar,calendar_query,calendar_query,calendar_query,ok,,,do i have any meetings tomorrow at nine pm,do i have any [event_name : meetings] [date : tomorrow] at [time : nine pm],audio-1498568229-headset.flac
6858,calendar,calendar_set,calendar_set,calendar_set,ok,,,set up the following event in the calendar with the following people,set up the following event in the calendar with the following people,audio-1494415410-headset.flac
6873,calendar,calendar_remove,calendar_remove,calendar_remove,ok,,,can you erase the past event i visited,can you erase the past event i visited,audio-1434529383-headset.flac
6875,calendar,calendar_query,calendar_query,calendar_query,ok,,,do i have any upcoming events in my calendar,do i have any upcoming events in my calendar,audio-1434537043-headset.flac
6881,calendar,calendar_query,calendar_query,calendar_query,ok,,,when is the next appointment on my calendar,when is the next [event_name : appointment] on my calendar,audio-1498569819-headset.flac
6898,calendar,calendar_remove,calendar_remove,calendar_remove,ok,,,can you delete all events from my calendar,can you delete all events from my calendar,audio-1502199096-headset.flac
6908,calendar,calendar_set,calendar_set,calendar_set,ok,,,i need a reminder every single day at nine am,i need a reminder [general_frequency : every single day] at [time : nine am],audio-1499245771-headset.flac
6912,calendar,calendar_query,calendar_query,calendar_query,ok,,,who should i expect to be at the meeting today,who should i expect to be at the [event_name : meeting] [date : today],audio-1489673941-headset.flac
6914,calendar,calendar_set,calendar_set,calendar_set,ok,,,put monday meeting on calendar every monday,put [event_name : monday meeting] on calendar [general_frequency : every Monday],audio-1497887113-headset.flac
6920,calendar,calendar_set,calendar_set,calendar_set,ok,,,set a notification for sixth march that there is a society meeting at eleven am,set a notification for [date : sixth march] that there is a [event_name : society meeting] at [time : eleven am],audio-1490204584-headset.flac
6925,calendar,calendar_query,calendar_query,calendar_query,ok,,,is there any program for tomorrow evening,is there any program for [date : tomorrow] [timeofday : evening],audio-1501414241-headset.flac
6927,calendar,calendar_remove,calendar_remove,calendar_remove,ok,,,delete all events and information,delete all events and information,audio-1490282637-headset.flac
6929,calendar,calendar_remove,calendar_remove,calendar_remove,ok,,,remove all the events and schedules,remove all the events and schedules,audio-1490006963-headset.flac
6932,calendar,calendar_query,calendar_query,calendar_query,ok,,,what is my event schedule tomorrow,what is my event schedule [date : tomorrow],audio-1500386636-headset.flac
6948,calendar,calendar_query,calendar_query,calendar_query,ok,,,how many meetings do i have this week,how many [event_name : meetings] do i have [date : this week],audio-1500039463-headset.flac
6952,calendar,calendar_remove,calendar_remove,calendar_remove,ok,,,wipe calendar clean,wipe calendar clean,audio-1492779585-headset.flac
6963,calendar,calendar_set,calendar_set,calendar_set,ok,,,please remind me one hour before the meeting i have tomorrow morning,please remind me [time : one hour] before the [event_name : meeting] i have [date : tomorrow] [timeofday : morning],audio-1490020809-headset.flac
6985,calendar,calendar_query,calendar_query,calendar_query,ok,,,what is my afternoon schedule tomorrow,what is my [timeofday : afternoon] schedule [date : tomorrow],audio-1497264659-headset.flac
6990,calendar,calendar_query,calendar_query,calendar_query,ok,,,upcoming events,upcoming events,audio-1497872962-headset.flac
6991,calendar,calendar_query,calendar_query,calendar_query,ok,,,latest events,latest events,audio-1490110063-headset.flac
7007,calendar,calendar_set,calendar_set,calendar_set,ok,,,set an appointment for allen on tomorrow,set an [event_name : appointment] for [person : allen] on [date : tomorrow],audio-1502309812-headset.flac
7034,calendar,calendar_set,calendar_set,calendar_set,ok,,,set a reminder for vacation next month,set a reminder for [event_name : vacation] [date : next month],audio-1501753221-headset.flac
7035,calendar,calendar_remove,calendar_remove,calendar_remove,ok,,,clear calendar for this month,clear calendar for [date : this month],audio-1501691843-headset.flac
7052,calendar,calendar_query,calendar_query,calendar_query,ok,,,do i have anything going on this saturday between two and four pm,do i have anything going on this [date : Saturday] between [time : two] and [time : four pm],audio-1501758494-headset.flac
7064,calendar,calendar_remove,calendar_remove,calendar_remove,ok,,,please delete all of my calendar events for the rest of the day,please delete all of my calendar events for the [time : rest of the day],audio-1499245401-headset.flac
7065,calendar,calendar_query,calendar_query,calendar_query,ok,,,what events are in my calendar for today,what events are in my calendar for [date : today],audio-1490368390-headset.flac
7066,calendar,calendar_query,calendar_query,calendar_query,ok,,,what are my calendar event,what are my calendar event,audio-1498484428-headset.flac
7070,calendar,calendar_query,calendar_query,calendar_query,ok,,,do i have any reminders today,do i have any reminders [date : today],audio-1490182518-headset.flac
7086,calendar,calendar_remove,calendar_remove,calendar_remove,ok,,,remove today's meeting at evening,remove [date : today's] [event_name : meeting] at [timeofday : evening],audio-1490109573-headset.flac
7101,calendar,calendar_set,calendar_set,calendar_set,ok,,,let me know the morning of my doctor appointment on the twelfth,let me know the [timeofday : morning] of my [event_name : doctor appointment] on the [date : twelfth],audio-1490369079-headset.flac
7104,calendar,calendar_set,calendar_set,calendar_set,ok,,,make a calendar entry for brunch on saturday morning with chris kimberly and aaronson,make a calendar entry for [event_name : brunch] on [date : Saturday] [timeofday : morning] with [person : chris] [person : kimberly] and [person : aaronson],audio-1502376059-headset.flac
7108,calendar,calendar_set,calendar_set,calendar_set,ok,,,remember me to meet reveca today at six pm,remember me to [event_name : meet] [person : reveca] [date : today] at [time : six pm],audio-1501691416-headset.flac
7112,calendar,calendar_query,calendar_query,calendar_query,ok,,,when is that meeting with my boss next week,when is that [event_name : meeting] with my [relation : boss] [date : next week],audio-1501689694-headset.flac
7131,calendar,calendar_remove,calendar_remove,calendar_remove,ok,,,delete the wedding on the tenth from my calendar,delete the [event_name : wedding] on the [date : tenth] from my calendar,audio-1501756909-headset.flac
7134,calendar,calendar_query,calendar_query,calendar_query,ok,,,what to do next on events,what to do next on events,audio-1501757769-headset.flac
7164,calendar,calendar_set,calendar_set,calendar_set,ambiguous_retained,weak_fragment,'four pm' (attuale set),four pm,[time : four pm],audio-1502102020-headset.flac
7174,calendar,calendar_remove,calendar_remove,calendar_remove,ok,,,cancel,cancel,audio-1502890707-headset.flac
7184,calendar,calendar_set,calendar_set,calendar_set,ok,,,i want to go to sally's birthday on saturday at ten pm,i want to go to [person : sally's] [event_name : birthday] on [date : saturday] at [time : ten pm],audio-1501406495-headset.flac
7201,calendar,calendar_query,calendar_query,calendar_query,ok,,,what do i have going on next week,what do i have going on [date : next week],audio-1502891799-headset.flac
7229,calendar,calendar_set,calendar_set,calendar_set,ok,,,please mark my calendar for a holiday in cuba on april two,please mark my calendar for a [event_name : holiday] in [place_name : cuba] on [date : april two],audio-1490261739-headset.flac
7239,calendar,calendar_set,calendar_set,calendar_set,ok,,,remind to at eight pm to take my medicine,remind to at [time : eight pm] to take my [event_name : medicine],audio-1490293870-headset.flac
7244,calendar,calendar_query,calendar_query,calendar_query,ok,,,when will the match start,when will the [event_name : match] start,audio-1490182904-headset.flac
7255,calendar,calendar_remove,calendar_remove,calendar_query,corrected,corrected,clausola principale interrogativa; 'i need to cancel' e' solo il motivo (gold era remove),what do i have scheduled for tomorrow i need to cancel,what do i have scheduled for [date : tomorrow] i need to cancel,audio-1489504288-headset.flac
7260,calendar,calendar_set,calendar_set,calendar_set,ok,,,set reminder for meeting at three pm tomorrow,set reminder for [event_name : meeting] at [time : three pm] [date : tomorrow],audio-1502376590-headset.flac
7279,calendar,calendar_set,calendar_set,calendar_set,ok,,,remind me to pick up the laundry next monday,remind me to [event_name : pick up the laundry] next [date : monday],audio-1434529642-headset.flac
7300,calendar,calendar_set,calendar_set,calendar_set,ok,,,set a reminder that i have to visit my father tomorrow,set a reminder that i have to visit my [relation : father] [date : tomorrow],audio-1501158142-headset.flac
7305,calendar,calendar_set,calendar_set,calendar_set,ok,,,add to the calendar a reunion event for this afternoon,add to the calendar a [event_name : reunion] event for [timeofday : this afternoon],audio-1490355898-headset.flac
7309,calendar,calendar_query,calendar_query,calendar_query,ok,,,what is my first appointment today,what is my first [event_name : appointment] [date : today],audio-1499265065-headset.flac
7310,calendar,calendar_query,calendar_query,calendar_query,ok,,,what's on my schedule for today,what's on my schedule for [date : today],audio-1501772526-headset.flac
7317,calendar,calendar_set,calendar_set,calendar_set,ok,,,can you set the location to my sisters house for this event,can you set the location to my [relation : sisters] [place_name : house] for this event,audio-1490367734-headset.flac
7341,calendar,calendar_remove,calendar_remove,calendar_remove,ok,,,do remove next event from the calendar,do remove next event from the calendar,audio-1502197916-headset.flac
7345,calendar,calendar_set,calendar_set,calendar_set,ok,,,add bola birthday of twelveth july to my calendar,add [person : bola] [event_name : birthday] of [date : twelveth july] to my calendar,audio-1501765453-headset.flac
7351,calendar,calendar_set,calendar_set,calendar_set,ok,,,in the calendar put that we are having dinner with frank at eight pm on the ninth of august,in the calendar put that we are having [meal_type : dinner] with frank at eight pm on the ninth of august,audio-1501686899-headset.flac
7357,calendar,calendar_query,calendar_query,calendar_query,ok,,,what are the list of events in my calendar in march,what are the list of events in my calendar in [date : march],audio-1497880167-headset.flac
7373,calendar,calendar_query,calendar_query,calendar_query,ok,,,when is the wedding scheduled,when is the [event_name : wedding] scheduled,audio-1501754013-headset.flac
7374,calendar,calendar_query,calendar_query,calendar_query,ok,,,what meetings are available in march,what [event_name : meetings] are available in [date : march],audio-1498569508-headset.flac
7381,calendar,calendar_query,calendar_query,calendar_query,ok,,,please check third event of twenty second of march twenty seventeen,please check third event of [date : twenty second of march twenty seventeen],audio-1501686582-headset.flac
7401,calendar,calendar_set,calendar_set,calendar_set,ok,,,add valentine's day with her tomorrow,add [event_name : valentine's day] with her [date : tomorrow],audio-1490103500-headset.flac
7402,calendar,calendar_set,calendar_set,calendar_set,ok,,,add birthday with mom for next month,add [event_name : birthday] with [relation : mom] for [date : next month],audio-1500040607-headset.flac
7421,calendar,calendar_set,calendar_set,calendar_set,ok,,,create a meeting with friend,create a [event_name : meeting] with [relation : friend],audio-1494548515-headset.flac
7424,calendar,calendar_set,calendar_set,calendar_set,ambiguous_retained,weak_fragment,'attend party before the meeting' (attuale set),attend party before the meeting,attend [event_name : party] before the meeting,audio--1504190559-headset.flac
7445,calendar,calendar_set,calendar_set,calendar_set,ok,,,please create an event with only these people,please create an event with only these people,audio-1490287322-headset.flac
7458,calendar,calendar_set,calendar_set,calendar_set,ok,,,remember to pick me up by twelve noon from the airport i have a three pm meeting,remember to [event_name : pick me up] by [time : twelve noon] from the [place_name : airport] i have a [time : three pm] [event_name : meeting],audio-1501752278-headset.flac
7470,calendar,calendar_set,calendar_set,calendar_set,ok,,,set meeting with jack on ten march,set [event_name : meeting] with [person : jack] on [date : ten march],audio-1490019689-headset.flac
7474,calendar,calendar_set,calendar_set,calendar_set,ok,,,remember to fix a meeting between me and the players tomorrow evening by seven,remember to fix a [event_name : meeting] between me and the [person : players] [date : tomorrow] [timeofday : evening] by [time : seven],audio-1490201709-headset.flac
7486,calendar,calendar_query,calendar_query,calendar_query,ok,,,what are my current alerts,what are my current alerts,audio-1495376444-headset.flac
7495,calendar,calendar_set,calendar_set,calendar_set,ok,,,remind me for tomorrow interview,remind me for [date : tomorrow] [event_name : interview],audio-1497887463-headset.flac
7505,calendar,calendar_query,calendar_query,calendar_query,ok,,,up coming events,[time : up coming] events,audio-1490198103-headset.flac
7516,calendar,calendar_set,calendar_set,calendar_set,ok,,,set event on recurring,set event on recurring,audio-1490193887-headset.flac
7517,calendar,calendar_set,calendar_set,calendar_set,ok,,,schedule a meeting on tuesday,schedule a [event_name : meeting] on [date : tuesday],audio-1497264410-headset.flac
7523,calendar,calendar_query,calendar_query,calendar_query,ok,,,what we got in that meeting which held yesterday,what we got in that [event_name : meeting] which held [date : yesterday],audio-1499696717-headset.flac
7541,calendar,calendar_set,calendar_set,calendar_set,ok,,,set reminder for tomorrow for this item,set reminder for [date : tomorrow] for this item,audio-1490202085-headset.flac
7555,calendar,calendar_set,calendar_set,calendar_set,ambiguous_retained,weak_fragment,'call person a for meeting' (attuale set),call person a for meeting,call person a for [event_name : meeting],audio-1502890120-headset.flac
7571,calendar,calendar_query,calendar_query,calendar_query,ok,,,when is the bill cycle,when is the [event_name : bill cycle],audio-1502197042-headset.flac
7617,calendar,calendar_query,calendar_query,calendar_query,ok,,,when does the hockey game start on friday,when does the [event_name : hockey game] start on [date : friday],audio-1502891213-headset.flac
7620,calendar,calendar_remove,calendar_remove,calendar_remove,ok,,,please delete all my calendar events,please delete all my calendar events,audio-1501772807-headset.flac
7627,calendar,calendar_set,calendar_set,calendar_set,ok,,,remind me to make a pizza tomorrow morning,remind me to [event_name : make a pizza] [date : tomorrow] [timeofday : morning],audio-1497860728-headset.flac
7631,calendar,calendar_set,calendar_set,calendar_set,ok,,,set twelve noon prayer for every friday,set [time : twelve noon] [event_name : prayer] for [general_frequency : every friday],audio-1497865199-headset.flac
7653,calendar,calendar_set,calendar_set,calendar_set,ok,,,don't forget to remind me of my brother's birthday on april twenty,don't forget to remind me of my [relation : brother's] [event_name : birthday] on [date : april twenty],audio-1434532514-headset.flac
7665,calendar,calendar_set,calendar_set,calendar_set,ok,,,i want to add a lunch date with mike jim and bob,i want to add a [meal_type : lunch] date with [person : mike] [person : jim] and [person : bob],audio-1501689053-headset.flac
7675,calendar,calendar_set,calendar_set,calendar_set,ok,,,remind me the upcoming meeting at four am today,remind me the upcoming [event_name : meeting] at [time : four am] [date : today],audio-1490287621-headset.flac
7676,calendar,calendar_set,calendar_set,calendar_query,corrected,corrected,elencare riunioni esistenti,list out the upcoming meeting,list out the upcoming [event_name : meeting],audio-1501752723-headset.flac
7682,calendar,calendar_remove,calendar_remove,calendar_remove,ok,,,find and delete all of my weekend events with evan parker,find and delete all of my [time : weekend] events with [person : evan parker],audio-1502200265-headset.flac
7684,calendar,calendar_set,calendar_set,calendar_set,ok,,,note this event to my calendar,note this event to my calendar,audio-1490357297-headset.flac
7688,calendar,calendar_query,calendar_query,calendar_query,ok,,,do i have any reminders pending,do i have any reminders pending,audio-1490288998-headset.flac
7699,calendar,calendar_set,calendar_set,calendar_set,ok,,,be sure to remind me of this,be sure to remind me of this,audio-1434530390-headset.flac
7703,calendar,calendar_set,calendar_set,calendar_set,ok,,,hey olly please set a reminder for tomorrow morning ten am meeting,hey olly please set a reminder for [date : tomorrow] [timeofday : morning] [time : ten am] [event_name : meeting],audio-1490359813-headset.flac
7720,calendar,calendar_query,calendar_query,calendar_query,ok,,,please tell me the pending reminders,please tell me the pending reminders,audio-1434533173-headset.flac
7723,calendar,calendar_query,calendar_query,calendar_query,ok,,,tell me about the meeting i have this week,tell me about the [event_name : meeting] i have [date : this week],audio-1490802216-headset.flac
7727,calendar,calendar_set,calendar_set,calendar_set,ok,,,i have a birthday on monday set the event,i have a [event_name : birthday] on [date : monday] set the event,audio-1502376523-headset.flac
7729,calendar,calendar_set,calendar_set,calendar_set,ok,,,i have a flight to take on the fifteenth,i have a flight to take on the [date : fifteenth],audio-1501151402-headset.flac
7731,calendar,calendar_set,calendar_set,calendar_set,ok,,,set a event for the evening,set a event for the [timeofday : evening],audio-1502101907-headset.flac
7732,calendar,calendar_set,calendar_set,calendar_set,ok,,,set bob's birthday for every june third,set [person : bob's] [event_name : birthday] for [date : every june third],audio-1502376806-headset.flac
7734,calendar,calendar_set,calendar_set,calendar_set,ok,,,remind me to go to the store every friday,remind me to go to the store [date : every friday],audio-1502377575-headset.flac
7738,calendar,calendar_remove,calendar_remove,calendar_remove,ok,,,delete grocery shopping from my saturday schedule,delete grocery shopping from my [date : saturday] schedule,audio-1434534380-headset.flac
7747,calendar,calendar_remove,calendar_remove,calendar_remove,ok,,,remove all data from my calendar,remove all data from my calendar,audio-1501685473-headset.flac
7753,calendar,calendar_query,calendar_query,calendar_query,ok,,,what do i have to do on monday,what do i have to do on [date : monday],audio-1490370218-headset.flac
7755,calendar,calendar_set,calendar_set,calendar_set,ok,,,repeat an event in my calendar,repeat an event in my calendar,audio-1501690626-headset.flac
7766,calendar,calendar_remove,calendar_remove,calendar_remove,ok,,,are there ways to go ahead and clear my calendar for the month,are there ways to go ahead and clear my calendar for [date : the month],audio-1498758577-headset.flac
7769,calendar,calendar_set,calendar_set,calendar_set,ok,,,add my practice at king's park on feb four at two pm,add my practice at [place_name : king's park] on [date : feb four] at [time : two pm],audio-1500389280-headset.flac
7782,calendar,calendar_query,calendar_query,calendar_query,ok,,,what does today's schedule look like,what does [date : today's] schedule look like,audio-1490108714-headset.flac
